epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3984,1.76296,3.40232,1.81278,0.00643,0.88,0.23043,0.13582,1.25305,3.50797,1.72299,0.000360046,0.000360046,0.000360046
2,125.782,1.50334,3.2297,1.67987,0.56344,0.36718,0.36446,0.24527,1.3558,3.26513,1.7444,0.000701457,0.000701457,0.000701457
3,184.671,1.44553,3.01446,1.61895,0.51739,0.47442,0.39959,0.26749,1.44761,3.00333,1.73036,0.00101354,0.00101354,0.00101354
4,238.434,1.46829,2.8207,1.61629,0.64422,0.55798,0.47904,0.21401,1.48312,2.49305,1.8224,0.000979013,0.000979013,0.000979013
5,297.712,1.46104,2.69653,1.62547,0.41995,0.51036,0.49771,0.30402,1.33587,2.4102,1.6516,0.000935018,0.000935018,0.000935018
6,357.601,1.42038,2.58914,1.58709,0.40457,0.55855,0.49374,0.28893,1.34176,2.2973,1.67546,0.000891022,0.000891022,0.000891022
7,412.134,1.36286,2.52344,1.55879,0.3116,0.8,0.49511,0.32271,1.3116,2.3702,1.61413,0.000847026,0.000847026,0.000847026
8,468.006,1.35392,2.43037,1.5316,0.34175,0.82376,0.50922,0.35154,1.1752,2.23474,1.56063,0.000803031,0.000803031,0.000803031
9,522.959,1.40243,2.40442,1.60056,0.37145,0.76,0.48302,0.32007,1.11959,2.45922,1.48472,0.000759035,0.000759035,0.000759035
10,578.195,1.31172,2.28954,1.55518,0.5172,0.67744,0.53055,0.29589,1.28514,2.41211,1.53602,0.00071504,0.00071504,0.00071504
11,633.606,1.32368,2.33561,1.54169,0.40722,0.74468,0.53586,0.30794,1.24096,2.09114,1.55688,0.000671044,0.000671044,0.000671044
12,690.332,1.26397,2.2062,1.49344,0.49713,0.8626,0.62518,0.44288,1.10301,2.04297,1.4911,0.000627048,0.000627048,0.000627048
13,744.788,1.31228,2.28231,1.54959,0.44574,0.81047,0.62095,0.4439,1.09826,2.18215,1.54912,0.000583053,0.000583053,0.000583053
14,801.034,1.28502,2.22962,1.53357,0.3512,0.85764,0.61533,0.4504,1.07443,1.9977,1.53431,0.000539057,0.000539057,0.000539057
15,869.064,1.25166,2.12294,1.48757,0.4133,0.69818,0.6387,0.43362,1.0303,1.9975,1.47338,0.000495062,0.000495062,0.000495062
16,922.715,1.03035,2.11628,1.36643,0.44103,0.70667,0.66079,0.43119,1.05996,2.05563,1.50436,0.000451066,0.000451066,0.000451066
17,975.366,0.94833,2.06297,1.35655,0.5105,0.76861,0.71419,0.48097,1.12666,2.20751,1.56199,0.00040707,0.00040707,0.00040707
18,1029.44,0.8589,1.969,1.33163,0.6455,0.57208,0.69571,0.48702,1.23192,2.08709,1.65115,0.000363075,0.000363075,0.000363075
19,1090.49,0.91469,1.8978,1.34987,0.47104,0.83795,0.67389,0.47119,1.16359,1.88405,1.5852,0.000319079,0.000319079,0.000319079
20,1148.37,0.82816,1.86521,1.29382,0.73114,0.62925,0.72015,0.56752,0.98423,1.84012,1.43358,0.000275084,0.000275084,0.000275084
21,1224.15,0.82607,1.80128,1.27687,0.76296,0.69996,0.74243,0.5839,0.94849,1.81323,1.39665,0.000231088,0.000231088,0.000231088
22,1290.19,0.83962,1.75289,1.26656,0.7488,0.84456,0.77359,0.57132,0.98682,1.81514,1.42456,0.000187092,0.000187092,0.000187092
23,1344.74,0.82838,1.66943,1.2447,0.80396,0.73541,0.83544,0.61828,1.02738,1.82673,1.46435,0.000143097,0.000143097,0.000143097
24,1401.67,0.81329,1.68196,1.26282,0.84649,0.71071,0.84102,0.64198,0.97469,1.78624,1.43106,9.91012e-05,9.91012e-05,9.91012e-05
25,1458.8,0.74937,1.67914,1.2103,0.74143,0.73946,0.83629,0.64651,0.96239,1.79459,1.41655,5.51056e-05,5.51056e-05,5.51056e-05
