epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.647,1.81892,3.4353,1.82623,0.00537,0.90667,0.13748,0.06488,1.35709,3.50651,1.76417,0.000360046,0.000360046,0.000360046
2,131.818,1.45833,3.42171,1.66687,0.0052,0.84333,0.19659,0.13215,1.1656,3.49498,1.5845,0.000701457,0.000701457,0.000701457
3,194.978,1.4083,3.3599,1.62751,0.00456,0.89333,0.21895,0.15018,1.23925,3.3791,1.64927,0.00101354,0.00101354,0.00101354
4,259.691,1.4407,3.25144,1.62583,0.58171,0.40333,0.39266,0.21537,1.16448,2.90574,1.56403,0.000979013,0.000979013,0.000979013
5,324.331,1.3569,3.13985,1.58533,0.32975,0.39,0.3228,0.20157,1.34639,2.75593,1.6617,0.000935018,0.000935018,0.000935018
6,382.03,1.34461,3.04747,1.60256,0.4528,0.33,0.41835,0.2341,1.16572,2.54076,1.61427,0.000891022,0.000891022,0.000891022
7,441.174,1.31742,2.89602,1.56428,0.3211,0.53419,0.45084,0.30637,1.21542,2.54944,1.714,0.000847026,0.000847026,0.000847026
8,500.638,1.32317,2.77133,1.5838,0.54097,0.43554,0.37336,0.25863,1.13289,2.52854,1.5538,0.000803031,0.000803031,0.000803031
9,558.521,1.42513,2.74664,1.66066,0.27267,0.62,0.41701,0.27282,1.18933,2.53216,1.55834,0.000759035,0.000759035,0.000759035
10,618.271,1.30208,2.55129,1.56484,0.24742,0.8,0.41403,0.25982,1.27331,2.62169,1.69979,0.00071504,0.00071504,0.00071504
11,681.217,1.32922,2.58107,1.61664,0.2839,0.77659,0.42412,0.26138,1.32549,2.42675,1.81834,0.000671044,0.000671044,0.000671044
12,741.741,1.27046,2.44918,1.54152,0.47758,0.6497,0.50897,0.3712,1.19592,2.2961,1.6789,0.000627048,0.000627048,0.000627048
13,800.167,1.32636,2.52251,1.61707,0.60153,0.5457,0.44191,0.32684,1.19303,2.39509,1.71404,0.000583053,0.000583053,0.000583053
14,857.177,1.30673,2.43761,1.59519,0.34547,0.56113,0.51176,0.35562,1.19178,2.34566,1.65848,0.000539057,0.000539057,0.000539057
15,918.375,1.26912,2.38472,1.55713,0.31941,0.71304,0.50128,0.33644,1.14761,2.33256,1.58219,0.000495062,0.000495062,0.000495062
16,997.607,1.15142,2.39493,1.536,0.60302,0.51099,0.58528,0.45225,1.15939,2.3667,1.62991,0.000451066,0.000451066,0.000451066
17,1057.34,0.99575,2.25712,1.46265,0.51038,0.67667,0.57942,0.40375,1.18708,2.1418,1.70539,0.00040707,0.00040707,0.00040707
18,1117.55,0.89387,2.17872,1.41305,0.36993,0.73601,0.60561,0.38943,1.23706,2.00851,1.74672,0.000363075,0.000363075,0.000363075
19,1183.66,0.94377,2.10017,1.4484,0.47994,0.54077,0.59344,0.44827,1.03565,2.02941,1.54978,0.000319079,0.000319079,0.000319079
20,1240.56,0.82033,2.05817,1.34181,0.55547,0.59608,0.70314,0.54705,0.88422,1.96712,1.3997,0.000275084,0.000275084,0.000275084
21,1314.48,0.85272,1.99335,1.35782,0.96118,0.53274,0.77539,0.60505,0.86732,1.90742,1.37534,0.000231088,0.000231088,0.000231088
22,1371.08,0.86951,1.96196,1.36342,0.948,0.53799,0.76489,0.55567,0.90146,1.90081,1.38425,0.000187092,0.000187092,0.000187092
23,1431.65,0.89778,1.88587,1.32914,0.72602,0.63667,0.79065,0.57464,0.93087,1.83568,1.39077,0.000143097,0.000143097,0.000143097
24,1490.01,0.83852,1.89103,1.30323,0.72055,0.72153,0.84144,0.60864,0.90381,1.8242,1.38383,9.91012e-05,9.91012e-05,9.91012e-05
25,1546.74,0.77501,1.87988,1.26419,0.79596,0.84441,0.87521,0.6518,0.90897,1.82429,1.38451,5.51056e-05,5.51056e-05,5.51056e-05
