epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7152,1.7743,3.30517,1.75682,0.00543,0.89333,0.32436,0.19042,1.28748,3.45889,1.732,0.00026664,0.00026664,0.00026664
2,121.475,1.49097,3.20162,1.63627,0.00817,0.88,0.37918,0.22609,1.32615,3.41579,1.81087,0.000517443,0.000517443,0.000517443
3,197.351,1.46488,3.05322,1.58717,0.45029,0.10591,0.3564,0.21941,1.37176,3.21176,1.82613,0.000740748,0.000740748,0.000740748
4,256.575,1.45858,2.90444,1.60196,0.56667,0.25,0.35876,0.22097,1.41718,3.09848,1.81418,0.000936556,0.000936556,0.000936556
5,329.618,1.46913,2.85027,1.58982,0.39571,0.66891,0.43624,0.28371,1.40553,3.01894,1.82416,0.000891022,0.000891022,0.000891022
6,397.62,1.41738,2.66534,1.58466,0.58717,0.53,0.41921,0.19606,1.52437,2.74082,1.93223,0.000836027,0.000836027,0.000836027
7,461.823,1.50475,2.74023,1.66957,0.52689,0.61155,0.43439,0.2138,1.54074,2.55742,1.92602,0.000781033,0.000781033,0.000781033
8,509.94,1.43731,2.65855,1.61925,0.37118,0.66307,0.47003,0.2778,1.38388,2.45605,1.72246,0.000726038,0.000726038,0.000726038
9,554.816,1.43679,2.62701,1.62392,0.36558,0.77141,0.44685,0.28643,1.26241,2.55144,1.61065,0.000671044,0.000671044,0.000671044
10,599.72,1.40368,2.51473,1.61792,0.3528,0.68189,0.41587,0.28259,1.19442,2.5745,1.59484,0.000616049,0.000616049,0.000616049
11,649.482,1.12692,2.39293,1.47657,0.31183,0.69,0.39286,0.27419,1.20837,2.50156,1.61684,0.000561055,0.000561055,0.000561055
12,697.452,1.09125,2.25277,1.43863,0.38737,0.52775,0.4479,0.28585,1.21089,2.71006,1.69107,0.00050606,0.00050606,0.00050606
13,742.465,1.03348,2.16332,1.42857,0.39103,0.569,0.50602,0.34442,1.18916,2.60946,1.68977,0.000451066,0.000451066,0.000451066
14,786.192,1.01657,2.19035,1.39239,0.49717,0.71313,0.6312,0.45284,1.17595,2.43813,1.69074,0.000396071,0.000396071,0.000396071
15,830.558,1.04478,2.14655,1.449,0.55036,0.75,0.68136,0.4652,1.15149,2.29251,1.66156,0.000341077,0.000341077,0.000341077
16,872.999,1.02161,2.04583,1.41741,0.6536,0.73065,0.77608,0.51038,1.17934,2.1939,1.67623,0.000286083,0.000286083,0.000286083
17,916.924,0.95205,1.98674,1.38471,0.46489,0.90449,0.65365,0.38454,1.17254,2.1346,1.66861,0.000231088,0.000231088,0.000231088
18,958.556,0.98099,2.01274,1.39964,0.49073,0.88363,0.6553,0.40891,1.14887,2.0624,1.63286,0.000176094,0.000176094,0.000176094
19,999.238,0.98454,1.93372,1.31774,0.50206,0.75573,0.62474,0.39378,1.13453,2.07296,1.62014,0.000121099,0.000121099,0.000121099
20,1042.25,0.93287,1.9389,1.33855,0.51423,0.75333,0.63685,0.42034,1.09967,2.05042,1.57618,6.61045e-05,6.61045e-05,6.61045e-05
