epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2883,1.68905,3.36737,1.77305,0.00504,0.86667,0.23254,0.14944,1.20836,3.47871,1.64971,0.000362283,0.000362283,0.000362283
2,80.1339,1.40063,3.1506,1.60039,0.54374,0.21,0.28871,0.17374,1.34265,2.81526,1.63728,0.00070844,0.00070844,0.00070844
3,119.432,1.45361,2.79507,1.6357,0.43126,0.37667,0.37728,0.16647,1.61525,6.76274,2.14094,0.00103015,0.00103015,0.00103015
4,160.371,1.40488,2.72525,1.60925,0.31748,0.56342,0.42251,0.27712,1.25055,4.84616,1.72566,0.00100101,0.00100101,0.00100101
5,199.64,1.48661,2.6308,1.66018,0.28436,0.79139,0.43311,0.29796,1.24532,2.20363,1.63974,0.000964348,0.000964348,0.000964348
6,238.683,1.42482,2.4362,1.62657,0.58343,0.51,0.47092,0.30311,1.23118,3.59501,1.62967,0.000927685,0.000927685,0.000927685
7,279.851,1.39076,2.39556,1.60831,0.51114,0.57667,0.43596,0.23878,1.24579,2.45383,1.72704,0.000891022,0.000891022,0.000891022
8,319.7,1.30843,2.31163,1.56622,0.50104,0.33333,0.33755,0.18936,1.10186,2.55809,1.6008,0.000854359,0.000854359,0.000854359
9,359.443,1.35862,2.32336,1.61162,0.23517,0.3327,0.30251,0.17767,1.20845,2.65147,1.66229,0.000817696,0.000817696,0.000817696
10,398.365,1.30684,2.3039,1.535,0.25396,0.75549,0.34794,0.23618,1.12389,3.59112,1.54663,0.000781033,0.000781033,0.000781033
11,437.202,1.2523,2.20135,1.50053,0.21973,0.86667,0.34957,0.20913,1.24571,4.26601,1.52896,0.00074437,0.00074437,0.00074437
12,476.375,1.22475,2.09661,1.4841,0.25153,0.93333,0.4607,0.29341,1.07653,2.33447,1.47741,0.000707707,0.000707707,0.000707707
13,516.267,1.17883,2.18186,1.45974,0.38693,0.58333,0.61092,0.41201,1.00733,2.09572,1.41833,0.000671044,0.000671044,0.000671044
14,555.962,1.19238,2.09259,1.45609,0.50286,0.8428,0.70143,0.46817,1.13281,2.09435,1.47897,0.000634381,0.000634381,0.000634381
15,595.873,1.14257,2.02772,1.43826,0.62291,0.74504,0.8035,0.50661,1.08503,1.72487,1.42125,0.000597718,0.000597718,0.000597718
16,634.69,1.15056,1.91969,1.43398,0.54275,0.75262,0.80127,0.52644,1.00518,1.65718,1.39018,0.000561055,0.000561055,0.000561055
17,674.63,1.1372,2.00615,1.44966,0.60548,0.84193,0.77705,0.52965,0.98063,1.61394,1.37065,0.000524392,0.000524392,0.000524392
18,715.989,1.12984,1.95492,1.43698,0.66698,0.6595,0.75401,0.47231,0.97101,1.50866,1.40651,0.000487729,0.000487729,0.000487729
19,755.511,1.13566,1.9423,1.46902,0.58835,0.8656,0.79291,0.47798,1.04705,1.60338,1.48374,0.000451066,0.000451066,0.000451066
20,795.801,1.0778,1.95122,1.41277,0.62558,0.73554,0.75223,0.45612,1.15413,1.54313,1.53856,0.000414403,0.000414403,0.000414403
21,834.598,0.90203,1.87445,1.37501,0.79103,0.73333,0.72152,0.54279,0.92074,1.55024,1.40608,0.00037774,0.00037774,0.00037774
22,874.257,0.8069,1.79169,1.29131,0.80939,0.70667,0.74198,0.50887,1.0054,1.58171,1.46742,0.000341077,0.000341077,0.000341077
23,913.292,0.86926,1.69321,1.36246,0.81768,0.68999,0.75458,0.54444,0.95492,1.57613,1.44121,0.000304414,0.000304414,0.000304414
24,952.341,0.79219,1.64227,1.30255,0.63937,0.81951,0.8014,0.63477,0.79379,1.67674,1.31799,0.000267751,0.000267751,0.000267751
25,991.498,0.78502,1.61347,1.25871,0.7307,0.82,0.84233,0.67627,0.7651,1.63894,1.28652,0.000231088,0.000231088,0.000231088
26,1030.8,0.74412,1.54551,1.25591,0.69521,0.80779,0.82834,0.63983,0.80795,1.6897,1.29401,0.000194425,0.000194425,0.000194425
27,1070.14,0.79978,1.47428,1.2275,0.68943,0.80596,0.82315,0.61515,0.88911,1.64973,1.33055,0.000157762,0.000157762,0.000157762
28,1109.76,0.67502,1.44538,1.19042,0.74341,0.79371,0.83915,0.66197,0.83639,1.53732,1.31371,0.000121099,0.000121099,0.000121099
29,1150.15,0.71227,1.38075,1.16901,0.77463,0.79333,0.84472,0.6631,0.79684,1.49613,1.29676,8.4436e-05,8.4436e-05,8.4436e-05
30,1191.27,0.71375,1.43564,1.22765,0.79899,0.79355,0.84569,0.68216,0.77008,1.49852,1.28259,4.7773e-05,4.7773e-05,4.7773e-05
