epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7362,1.70174,3.4194,1.78325,0.00662,0.79333,0.15794,0.0805,1.36519,3.56074,1.81851,0.000362283,0.000362283,0.000362283
2,91.883,1.43816,3.38269,1.63893,0.00532,0.89333,0.29823,0.17883,1.09979,3.41156,1.49939,0.00070844,0.00070844,0.00070844
3,139.388,1.34407,3.20535,1.5673,0.48129,0.36333,0.46036,0.20304,1.35309,3.11571,1.82145,0.00103015,0.00103015,0.00103015
4,182.8,1.36584,3.08745,1.58848,0.61694,0.38352,0.35154,0.23294,1.17871,3.02116,1.62301,0.00100101,0.00100101,0.00100101
5,226.981,1.4047,2.91374,1.59579,0.3621,0.52294,0.42701,0.25246,1.38789,2.62637,1.80433,0.000964348,0.000964348,0.000964348
6,270.868,1.3384,2.75073,1.58822,0.35686,0.59413,0.49189,0.30094,1.31323,2.71198,1.82729,0.000927685,0.000927685,0.000927685
7,314.098,1.36079,2.65133,1.63058,0.22939,0.65369,0.35684,0.21631,1.34934,2.98599,2.0545,0.000891022,0.000891022,0.000891022
8,356.744,1.28059,2.45739,1.55773,0.44858,0.63611,0.48776,0.3425,1.07175,2.46704,1.6854,0.000854359,0.000854359,0.000854359
9,400.49,1.36137,2.50981,1.64439,0.48486,0.76836,0.56832,0.392,1.06324,2.06637,1.63683,0.000817696,0.000817696,0.000817696
10,443.037,1.32798,2.44362,1.60263,0.6085,0.61128,0.60642,0.39448,1.08043,2.5018,1.56008,0.000781033,0.000781033,0.000781033
11,485.952,1.26788,2.30249,1.52824,0.38417,0.71333,0.57995,0.37245,1.12752,2.28865,1.53466,0.00074437,0.00074437,0.00074437
12,528.954,1.24237,2.22028,1.51843,0.35525,0.69569,0.54085,0.37146,1.13158,2.13127,1.61812,0.000707707,0.000707707,0.000707707
13,572.094,1.24206,2.21038,1.51041,0.53526,0.54151,0.45436,0.2655,1.1844,2.22935,1.62991,0.000671044,0.000671044,0.000671044
14,615.278,1.22973,2.1311,1.49258,0.38654,0.55744,0.56805,0.34777,1.11044,1.87687,1.57585,0.000634381,0.000634381,0.000634381
15,657.883,1.19086,2.03938,1.45815,0.84943,0.39,0.54027,0.37591,1.04628,1.94455,1.55452,0.000597718,0.000597718,0.000597718
16,700.943,1.19956,2.02292,1.47901,0.63728,0.66832,0.6266,0.42774,0.93077,1.62382,1.45804,0.000561055,0.000561055,0.000561055
17,744.062,1.15735,2.08879,1.46308,0.52745,0.79444,0.6262,0.44563,1.00842,1.64907,1.53443,0.000524392,0.000524392,0.000524392
18,787.166,1.16162,2.0251,1.45616,0.4734,0.79155,0.65785,0.46422,1.01276,1.69592,1.54385,0.000487729,0.000487729,0.000487729
19,830.095,1.19432,1.96339,1.49955,0.59996,0.88645,0.69902,0.48283,0.96188,1.49902,1.46395,0.000451066,0.000451066,0.000451066
20,875.019,1.16249,1.96798,1.46993,0.65357,0.72122,0.72213,0.44619,1.02634,1.45949,1.52166,0.000414403,0.000414403,0.000414403
21,918.99,0.94619,2.0681,1.43397,0.80689,0.75192,0.80379,0.53377,0.85915,1.43723,1.38213,0.00037774,0.00037774,0.00037774
22,961.128,0.85731,1.90896,1.34417,0.64974,0.71,0.81997,0.51883,1.0609,1.54686,1.54117,0.000341077,0.000341077,0.000341077
23,1003.42,0.84189,1.81201,1.39572,0.61088,0.83284,0.81837,0.53059,1.04994,1.56018,1.54659,0.000304414,0.000304414,0.000304414
24,1045.88,0.81434,1.77572,1.35227,0.64464,0.76182,0.86196,0.65124,0.85192,1.39635,1.40253,0.000267751,0.000267751,0.000267751
25,1088.41,0.77673,1.7431,1.26564,0.90756,0.569,0.81162,0.62664,0.78916,1.32841,1.35192,0.000231088,0.000231088,0.000231088
26,1132,0.77599,1.67868,1.31904,0.92841,0.60232,0.82137,0.59086,0.85958,1.36008,1.36331,0.000194425,0.000194425,0.000194425
27,1174.27,0.81863,1.64344,1.27167,0.65501,0.92178,0.89672,0.56908,0.94113,1.37324,1.41125,0.000157762,0.000157762,0.000157762
28,1216.75,0.67875,1.57414,1.23201,0.7895,0.88935,0.92578,0.66819,0.86643,1.3401,1.35924,0.000121099,0.000121099,0.000121099
29,1259.64,0.71087,1.5177,1.21219,0.80624,0.83017,0.89358,0.69664,0.81064,1.32588,1.32885,8.4436e-05,8.4436e-05,8.4436e-05
30,1303.04,0.71219,1.57165,1.24744,0.73182,0.87446,0.89106,0.71056,0.7704,1.33465,1.31126,4.7773e-05,4.7773e-05,4.7773e-05
