epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6015,1.82348,3.45413,1.86904,0.0052,0.92,0.17069,0.07823,1.30811,3.49044,1.72175,0.00026664,0.00026664,0.00026664
2,100.95,1.51567,3.41498,1.68302,0.00667,0.88,0.13779,0.07737,1.18876,3.52638,1.64327,0.000517443,0.000517443,0.000517443
3,153.455,1.38268,3.41819,1.61681,0.0061,0.89333,0.24874,0.13931,1.07761,3.4279,1.47498,0.000740748,0.000740748,0.000740748
4,205.13,1.36519,3.30026,1.5627,0.00472,0.89333,0.31669,0.19802,1.18,3.40811,1.50685,0.000936556,0.000936556,0.000936556
5,265.143,1.43387,3.22565,1.57471,0.73881,0.15,0.32915,0.16921,1.46084,3.32495,1.70809,0.000891022,0.000891022,0.000891022
6,316.998,1.34433,3.10493,1.57761,0.72528,0.31833,0.28254,0.12533,1.46661,3.22844,1.82223,0.000836027,0.000836027,0.000836027
7,368.297,1.41556,3.09115,1.59987,0.60734,0.20977,0.30788,0.12415,1.61289,3.23208,1.9868,0.000781033,0.000781033,0.000781033
8,417.041,1.4291,3.04079,1.60234,0.4223,0.31333,0.36543,0.23701,1.24366,3.04435,1.60173,0.000726038,0.000726038,0.000726038
9,466.724,1.36218,2.95631,1.60166,0.4419,0.41333,0.38869,0.27298,1.17468,2.9431,1.55333,0.000671044,0.000671044,0.000671044
10,530.349,1.29217,2.8625,1.54693,0.24708,0.43756,0.43767,0.31179,1.15338,2.8533,1.55856,0.000616049,0.000616049,0.000616049
11,579.035,1.04474,2.80253,1.38689,0.27126,0.71006,0.47481,0.26865,1.32939,2.74019,1.66995,0.000561055,0.000561055,0.000561055
12,626.992,1.08213,2.61339,1.41068,0.58771,0.57755,0.56967,0.31808,1.34212,2.56658,1.70025,0.00050606,0.00050606,0.00050606
13,680.134,0.99421,2.51635,1.36665,0.66701,0.56015,0.63128,0.38836,1.29616,2.46412,1.69006,0.000451066,0.000451066,0.000451066
14,740.661,0.99102,2.44096,1.37309,0.72917,0.57955,0.68258,0.47314,1.27059,2.25292,1.79798,0.000396071,0.000396071,0.000396071
15,793.382,0.97637,2.38576,1.35835,0.74228,0.55453,0.7418,0.4821,1.35667,2.16345,1.94916,0.000341077,0.000341077,0.000341077
16,842.097,0.95038,2.28619,1.34961,0.80082,0.58154,0.69068,0.42239,1.43242,2.17118,2.02312,0.000286083,0.000286083,0.000286083
17,891.051,0.90577,2.22268,1.34833,0.76015,0.61309,0.68357,0.41881,1.42678,2.09962,1.96744,0.000231088,0.000231088,0.000231088
18,940.72,0.94668,2.18585,1.38059,0.69391,0.66467,0.68661,0.42863,1.38169,2.06081,1.90893,0.000176094,0.000176094,0.000176094
19,990.457,0.90625,2.12463,1.28164,0.64607,0.66526,0.70421,0.46894,1.3268,2.00885,1.82679,0.000121099,0.000121099,0.000121099
20,1038.96,0.83951,2.12761,1.27388,0.67449,0.6564,0.70924,0.49069,1.26376,2.00938,1.74316,6.61045e-05,6.61045e-05,6.61045e-05
