epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0913,1.77237,3.39943,1.80405,0.00489,0.90667,0.31405,0.21204,1.23562,3.45634,1.67218,0.000360046,0.000360046,0.000360046
2,111.969,1.44113,3.22576,1.62567,0.00577,0.88333,0.2644,0.20009,1.16214,3.33064,1.58875,0.000701457,0.000701457,0.000701457
3,169.295,1.49914,3.04499,1.63673,0.60828,0.33,0.3009,0.15661,1.57101,2.88341,1.84689,0.00101354,0.00101354,0.00101354
4,223.82,1.47731,2.82125,1.6396,0.39334,0.61333,0.4578,0.24146,1.52001,2.48925,1.77958,0.000979013,0.000979013,0.000979013
5,277.292,1.5065,2.71271,1.64998,0.27606,0.53266,0.37055,0.24211,1.38703,2.749,1.68783,0.000935018,0.000935018,0.000935018
6,334.595,1.4226,2.59429,1.63793,0.39302,0.52377,0.49745,0.35516,1.27664,2.45698,1.63984,0.000891022,0.000891022,0.000891022
7,389.677,1.32548,2.48035,1.5638,0.33354,0.88,0.55701,0.31443,1.30825,2.33614,1.69409,0.000847026,0.000847026,0.000847026
8,460.964,1.35823,2.385,1.56296,0.51552,0.58101,0.57975,0.41984,1.20709,2.5698,1.63254,0.000803031,0.000803031,0.000803031
9,514.635,1.40858,2.31353,1.62257,0.82795,0.43291,0.56026,0.36709,1.22513,2.55193,1.64232,0.000759035,0.000759035,0.000759035
10,568.896,1.29201,2.23919,1.56319,0.6403,0.49,0.51768,0.28675,1.19509,4.60082,1.63865,0.00071504,0.00071504,0.00071504
11,622.779,1.29371,2.33391,1.56843,0.52583,0.55331,0.38933,0.23111,1.17477,4.54605,1.64887,0.000671044,0.000671044,0.000671044
12,675.775,1.24394,2.25657,1.51812,0.40542,0.70292,0.55997,0.36908,1.11106,2.36014,1.56446,0.000627048,0.000627048,0.000627048
13,729.911,1.29315,2.24063,1.55669,0.70673,0.5452,0.63849,0.39248,1.13896,2.10226,1.54117,0.000583053,0.000583053,0.000583053
14,784.846,1.26155,2.17669,1.53702,0.75131,0.55459,0.68816,0.43353,1.11807,1.9766,1.50408,0.000539057,0.000539057,0.000539057
15,866.408,1.21836,2.10838,1.5046,0.54006,0.79171,0.73747,0.43978,1.11535,2.19446,1.51933,0.000495062,0.000495062,0.000495062
16,935.083,1.06202,2.16155,1.39102,0.60675,0.60421,0.58499,0.42106,1.09753,2.04257,1.53121,0.000451066,0.000451066,0.000451066
17,992.808,0.95835,2.07561,1.35887,0.87368,0.54158,0.72936,0.49835,1.19526,1.88511,1.65316,0.00040707,0.00040707,0.00040707
18,1046.99,0.86452,1.93792,1.34198,0.68781,0.69864,0.76964,0.48867,1.29772,1.81658,1.76492,0.000363075,0.000363075,0.000363075
19,1103.64,0.89564,1.84089,1.33527,0.60797,0.78277,0.7673,0.54576,1.16419,1.75832,1.62547,0.000319079,0.000319079,0.000319079
20,1165.54,0.82827,1.77459,1.28506,0.55241,0.69919,0.76352,0.57497,1.01269,1.89934,1.46989,0.000275084,0.000275084,0.000275084
21,1219.96,0.86428,1.68402,1.29884,0.60862,0.79006,0.73095,0.55469,0.96729,2.0223,1.42869,0.000231088,0.000231088,0.000231088
22,1273.9,0.87137,1.74371,1.27701,0.66693,0.78034,0.74245,0.52686,1.00814,2.00783,1.44397,0.000187092,0.000187092,0.000187092
23,1331.81,0.90661,1.6098,1.28068,0.58898,0.7853,0.73288,0.50514,1.03046,1.88915,1.46149,0.000143097,0.000143097,0.000143097
24,1391.13,0.78617,1.67824,1.20952,0.65776,0.6789,0.73373,0.52026,1.00645,1.7818,1.42581,9.91012e-05,9.91012e-05,9.91012e-05
25,1446.12,0.75585,1.623,1.21651,0.57434,0.80333,0.74952,0.5485,0.99872,1.75353,1.41159,5.51056e-05,5.51056e-05,5.51056e-05
