epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0458,1.86431,3.38353,1.82496,0.00435,0.92,0.13063,0.0761,1.26744,3.4769,1.67519,0.00026664,0.00026664,0.00026664
2,88.1384,1.5197,3.25769,1.62319,0.00513,0.88,0.33988,0.19974,1.24232,3.44846,1.6044,0.000517443,0.000517443,0.000517443
3,132.469,1.36164,3.16022,1.55067,0.75496,0.4,0.39369,0.2406,1.09588,3.22512,1.47918,0.000740748,0.000740748,0.000740748
4,176.133,1.36612,2.91993,1.52354,0.72365,0.25,0.39884,0.27298,1.10363,2.98923,1.47407,0.000936556,0.000936556,0.000936556
5,226.998,1.43345,2.83603,1.58095,0.82024,0.26987,0.36636,0.19392,1.54479,2.91063,1.84347,0.000891022,0.000891022,0.000891022
6,271.036,1.48081,2.68812,1.62946,0.22326,0.56,0.30027,0.14828,1.62868,2.61531,1.89766,0.000836027,0.000836027,0.000836027
7,316.03,1.54307,2.71344,1.68161,0.29381,0.48667,0.37638,0.17986,1.59652,2.62264,1.85713,0.000781033,0.000781033,0.000781033
8,363.467,1.42893,2.65,1.63245,0.45648,0.67121,0.53913,0.33357,1.38755,2.67056,1.7459,0.000726038,0.000726038,0.000726038
9,406.572,1.439,2.59887,1.62136,0.46595,0.67012,0.56709,0.37297,1.30222,2.65967,1.66795,0.000671044,0.000671044,0.000671044
10,447.555,1.37164,2.43652,1.57303,0.61336,0.54272,0.53932,0.36001,1.28937,2.48159,1.65794,0.000616049,0.000616049,0.000616049
11,490.387,1.03749,2.45077,1.3817,0.33125,0.7,0.47561,0.31413,1.2843,2.24655,1.63113,0.000561055,0.000561055,0.000561055
12,548.392,1.13352,2.26963,1.43013,0.4222,0.45819,0.46135,0.29312,1.17923,2.95737,1.59095,0.00050606,0.00050606,0.00050606
13,594.095,0.9343,2.08148,1.33261,0.43258,0.54868,0.50838,0.35694,1.07889,2.83625,1.54999,0.000451066,0.000451066,0.000451066
14,646.298,0.93218,2.02083,1.29895,0.47504,0.6403,0.66619,0.50632,1.09155,2.48123,1.56372,0.000396071,0.000396071,0.000396071
15,708.18,0.92924,1.92725,1.34601,0.63638,0.66572,0.72211,0.48053,1.1862,2.27281,1.63863,0.000341077,0.000341077,0.000341077
16,749.725,0.97377,1.88088,1.35113,0.7394,0.7,0.72839,0.46626,1.24334,2.22609,1.69986,0.000286083,0.000286083,0.000286083
17,810.216,0.837,1.83947,1.28433,0.70936,0.62182,0.7149,0.49443,1.17502,2.33753,1.64802,0.000231088,0.000231088,0.000231088
18,852.417,0.94913,1.86701,1.37252,0.76426,0.61956,0.7163,0.51255,1.12864,2.26707,1.59728,0.000176094,0.000176094,0.000176094
19,897.214,0.89023,1.82796,1.2529,0.46901,0.71333,0.68624,0.48898,1.08945,2.23547,1.53745,0.000121099,0.000121099,0.000121099
20,947.356,0.81584,1.80104,1.25746,0.4655,0.7245,0.68818,0.49913,1.06687,2.18206,1.50883,6.61045e-05,6.61045e-05,6.61045e-05
